School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,Estrella Elementary,"300 East 53rd Street
Los Angeles 90011
(33.994216229000074, -118.27002696899996)",n/a, K-05,500,22.6,88.4%,19.2,725,Autry Museum; Museum of Contemporary Art; Skirball Cultural Center,,,,,,Visual Art
Los Angeles County Office of Education,L.A. County High School for the Arts,"5151 State University Drive
Los Angeles 90032
(34.06233236600008, -118.17161281499995)",2003, 08-12,617,,10.4%,6.9,831,Amy Chaffee; Skylight Theatre Company; The Music Center; Shakespeare Center of Los Angeles,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Belvedere Middle,"312 North Record Avenue
Los Angeles 90063
(34.03829022000008, -118.182256629)",n/a, 06-08,1516,21.1,84.2%,17.3,717,LA County Museum of Art; Skirball Cultural Center; The Music Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Hawaiian Avenue Elementary,"540 Hawaiian Avenue
Wilmington 90744
(33.77552272300005, -118.27645681999996)",n/a, K-05,927,23.7,80.8%,20.4,838,Grand Vision Foundation; LA Opera; Museum of Latin American Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,San Fernando Elementary,"1130 Mott Street
San Fernando 91340
(34.279408647000025, -118.44721000499999)",n/a, K-05,621,23.9,87.3%,22.2,784,Autry Museum; LA Opera,,,,Music/Opera,,Visual Art
Los Angeles Unified,Valley Academy of Arts and Sciences,"10445 Balboa Boulevard
Granada Hills 91344
(34.260470895000026, -118.50233286299999)",n/a, 09-11,933,30.9,67%,23.6,686,CalArts Community Arts Partnership (CAP); Ryman Arts; The Music Center,Dance,,Media Arts,,,Visual Art
Los Angeles Unified,Rancho Dominguez Preparatory,"4110 Santa Fe Avenue
Long Beach 90810
(33.825867853000034, -118.21570610599997)",n/a, 06-11,1108,29.6,77.3%,21.7,681,The Music Center,,,,Music/Opera,,
Los Angeles Unified,Fifteenth Street Elementary,"1527 South Mesa Street
San Pedro 90731
(33.730309489000035, -118.28582256599998)",n/a, K-05,629,23.1,84.1%,22.5,822,Grand Vision Foundation; LA Opera; San Pedro City Ballet,Dance,,,Music/Opera,,
El Monte Union High,Mountain View High,"2900 Parkway Drive
El Monte 91732
(34.05440718600005, -118.01228008199996)",n/a, 09-12,1769,22.1,93.3%,21.9,690,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Lafayette Park Primary Center,"310 South La Fayette Park Place
Los Angeles 90057
(34.06650384000005, -118.28095302399998)",n/a, K,134,22.3,75.4%,22.3,,Skirball Cultural Center,,,,,,Visual Art
Long Beach Unified,Fremont Elementary,"4000 East Fourth Street
Long Beach 90814
(33.771664473000044, -118.14581954999994)",n/a, K-05,459,30.6,19.8%,27.7,933,Carpenter Performing Arts Center; International City Theatre,,,,Music/Opera,Theatre,
Los Angeles Unified,James Madison Middle,"13000 Hart Street
North Hollywood 91605
(34.197543633000066, -118.41649938999996)",n/a, 05-08,1603,30.7,84.9%,23.7,743,Create Now; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Ninety-Second Street Elementary ,"9211 Grape Street
Los Angeles 90002
(33.953117005000024, -118.23634243299995)",n/a, K-06,857,24.3,88.6%,21.2,816,Museum of Latin American Art,,,,,,Visual Art
Redondo Beach Unified,Jefferson Elementary,"600 Harkness Lane
Redondo Beach 90278
(33.860133646000065, -118.38112364999995)",2007, K-06,666,26.6,7.1%,24.7,941,The Music Center,Dance,,,Music/Opera,,
Paramount Unified,Jefferson Elementary,"8600 Jefferson Street
Paramount 90723
(33.89280643400008, -118.14917627699998)",2006, K-05,500,27.4,82.2%,26.3,788,AMAN Dance Educators; Robin Kiss; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,One Hundred Fifty-Third Street,"1605 West 153rd Street
Gardena 90247
(33.89288838700003, -118.30586996499994)",n/a, K-05,380,15.8,73.7%,15.2,735,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Windsor Hills Math Science,"5215 Overdale Drive
Los Angeles 90043
(33.99564343000003, -118.355375848)",n/a, K-05,630,23.4,71.3%,21.7,781,The Music Center,Dance,,,,,
Los Angeles Unified,San Pedro Senior High,"1001 West 15th Street
San Pedro 90731
(33.730679950000024, -118.29899077899995)",n/a, 09-12,2969,29.4,51.3%,25.4,715,LA Opera,,,,Music/Opera,,
Los Angeles Unified,Jack London Community Day ,"12924-A Oxnard Street
Valley Glen 91401
(34.17938767800007, -118.41431030199999)",n/a, 09-12,68,14.8,52.9%,19.4,396,CalArts Community Arts Partnership (CAP); Museum of Latin American Art; Saturday Night Bath Concert Fund,,,,Music/Opera,,Visual Art
Los Angeles Unified,Ernest Lawrence Middle,"10100 Variel Avenue
Chatsworth 91311
(34.25526027700005, -118.59290567)",n/a, 06-08,1650,30.2,62.2%,25,819,LA Opera; Museum of Contemporary Art; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,Visual Art
El Segundo Unified,El Segundo Middle,"332 Center Street
El Segundo 90245
(33.91994327500004, -118.40483337899997)",n/a, 06-10,783,31,12.6%,25.7,891,El Segundo Concert Band,,,Media Arts,,,
Long Beach Unified,Barton Elementary,"1100 East Del Amo Boulevard
Long Beach 90807
(33.846773477000056, -118.17958580599998)",n/a, K-05,781,27.9,88.3%,26.3,754,International City Theatre; Long Beach Symphony Orchestra,,Literature,,Music/Opera,Theatre,
West Covina Unified,California Elementary,"1125 Bainbridge
West Covina 91790
(34.066643870000064, -117.93768905999997)",2011, 03-06,439,25.8,77.2%,24.4,849,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Palisades Charter high,"15777 Bowdoin Street
Pacific Palisades 90272
(34.04689402100007, -118.53188943999999)",n/a, 09-12,2898,24.7,34.4%,25.9,853,Broad Stage,,,Media Arts,,,
Pomona Unified,Washington Elementary,"975 East Ninth Street
Pomona 91766
(34.05122804000007, -117.76022073899998)",2007, K-05,672,26.9,95.2%,22.4,694,The Music Center,Dance,,,,,
Santa Monica-Malibu Unified,Franklin Elementary,"2400 Montana Avenue
Santa Monica 90403
(34.039981074000025, -118.48555312699995)",2003, K-05,767,24.7,4.8%,22.6,964,art innovators; Morgan-Wixson Theatre; Broad Stage; The Music Center; Will Geer Theatricum Botanicum,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Florence Nightingale Middle ,"3311 North Figueroa Street
Los Angeles 90065
(34.08661346200006, -118.21885770899996)",n/a, 06-08,1062,22.3,91.1%,17.4,750,Inside Out Community Art; Skirball Cultural Center,,,,,Theatre,Visual Art
Pasadena Unified,Longfellow (Henry W.) Elementary,"1065 East Washington Boulevard
Pasadena 91104
(34.169035586000064, -118.12848207799999)",2003, K-05,515,28.4,79.8%,24.5,828,Armory Center for the Arts; Autry Museum; Diavolo Dance Theater; Pasadena Conservatory of Music; Pasadena Museum of California Art; Shumei Arts Council; Side Street Projects; Verdugo Young Musicians Association (VYMA),Dance,,,Music/Opera,,Visual Art
ABC Unified,Charles J. Carver Elementary,"19200 East Ely Street
Cerritos 90703
(33.86693003700003, -118.06904726699997)",2005, K-06,595,27,42.2%,26.4,863,Autry Museum,,,,,,Visual Art
Beverly Hills Unified,Hawthorne Elementary,"624 North Rexford Drive
Beverly Hills 90210
(34.07764206000007, -118.40355472399995)",2004, K-08,622,24.3,3.4%,16.5,936,Armory Center for the Arts; Dancing Classrooms Los Angeles; The Music Center,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Alliance College-Ready Middle Academy No. 7,"2941 West 70th Street
Los Angeles 90043
(33.976388489000044, -118.32506928499998)",n/a, 09-12,468,25.8,87.2%,19.5,678,LA County Museum of Art,,,,,,Visual Art
Long Beach Unified,MacArthur Elementary,"6011 Centralia Street
Lakewood 90713
(33.83955337200007, -118.11452462499994)",n/a, K-05,556,27.8,66%,23.7,795,Arts Council for Long Beach; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,William Jefferson Clinton Middle ,"3500 South Hill Street
Los Angeles 90007
(34.018241095000064, -118.27576023699999)",n/a, 06-08,979,28.4,80.7%,26.1,639,Diavolo Dance Theater; Pepperdine CFA,Dance,,,,Theatre,Visual Art
Los Angeles Unified,John R. Wooden High,"18741 Elkwood Street
Reseda 91335
(34.21294921100008, -118.54174197099996)",n/a, 09-12,138,2,42%,27.6,533,CalArts Community Arts Partnership (CAP); The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Las Virgenes Unified,Calabasas High,"22855 West Mulholland Highway
Calabasas 91302
(34.13775315600003, -118.624976431)",2009, 09-12,1810,29.5,5.2%,25,867,Story Pirates,,,,,Theatre,
Los Angeles Unified,Metropolitan Continuation,"727 South Wilson Street
Los Angeles 90021
(34.033704138000076, -118.23400214899999)",n/a, 09-12,158,24.8,47.5%,22.6,712,artworxLA (formerly The Heart Project); Saturday Night Bath Concert Fund,Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Murchison Street Elementary,"1501 Murchison Street
Los Angeles 90033
(34.060886466000056, -118.19496629799994)",n/a, K-06,554,23.1,90.3%,20.5,732,24th Street Theatre Company; Autry Museum; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Evergreen Avenue Elementary,"2730 Ganahl Street
Los Angeles 90033
(34.052485180000076, -118.19714180599999)",n/a, K-06,902,20.5,93.5%,18,758,Autry Museum,,,,,,Visual Art
Sulphur Springs Union,Leona H. Cox Community Elementary,"18643 Oakmoor
Canyon Country 91351
(34.426804047000076, -118.46171703399995)",2011, K-06,504,21.3,51.8%,23.2,816,Santa Clarita PAC,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Toland Way Elementary,"4545 Toland Way
Los Angeles 90041
(34.12085812600003, -118.216751338)",n/a, K-06,369,23.1,86.2%,20.5,801,Autry Museum; Guild Opera Co.,,,,Music/Opera,,Visual Art
Los Angeles Unified,Van Nuys Senior High,"6535 Cedros Avenue
Van Nuys 91411
(34.18915041200006, -118.45314310399999)",n/a, 08-12,2856,28.7,74.6%,23.7,762,Museum of Contemporary Art; Skirball Cultural Center; Will Geer Theatricum Botanicum,,,,,Theatre,Visual Art
Norwalk-La Mirada Unified,La Mirada High,"13520 Adelfa Drive
La Mirada 90638
(33.90984066500005, -118.00425636999995)",2003, 09-12,2229,30.1,40.3%,24.9,780,Museum of Contemporary Art,,,,,,Visual Art
Los Angeles Unified,Lenicia B. Weemes Elementary,"1260 West 36th Place
Los Angeles 90007
(34.02185292000007, -118.296788833)",n/a, K-05,911,23.3,74.8%,22.8,741,Skirball Cultural Center,,,,,,Visual Art
Pomona Unified,Allison Elementary,"1011 Russell Place
Pomona 91767
(34.07764494200006, -117.73173978999995)",2007, K-06,404,23.8,88.9%,18.8,720,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Los Angeles Academy Middle,"644 East 56th Street
Los Angeles 90011
(33.99153292800003, -118.26362961899997)",n/a, 06-08,1771,24.2,89.3%,17.4,695,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,William R. Anton Elementary,"831 North Bonnie Beach Place
Los Angeles 90063
(34.04568523900008, -118.18116673699996)",n/a, K-06,943,23.6,87.6%,23,763,Autry Museum; Museum of Latin American Art; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Vanalden Avenue Elementary,"19019 Delano Street
Reseda 91335
(34.18254783700007, -118.54831927799995)",n/a, K-05,409,22.8,77.8%,24.1,838,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Los Angeles High School of the Arts ,"701 S. Catalina Street
Los Angeles 90005
(34.05967078000003, -118.29544025299998)",n/a, 09-12,410,20.1,80.5%,17.7,732,"Broad Stage; CalArts Community Arts Partnership (CAP); Cornestone Theater Company; Street Poets, Inc.",Dance,Literature,,,Theatre,
Los Angeles Unified,San Antonio Elementary,"6222 State Street
Huntington Park 90255
(33.98352453100006, -118.21255543099994)",n/a, K-05,688,22.2,90.4%,19.7,779,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Justice Street Elementary ,"23350 Justice Street
West Hills 91304
(34.21616335500005, -118.63579129499999)",n/a, K-05,398,23.4,32.4%,22.1,894,Juliana Martinez,,,,,,Visual Art
Los Angeles Unified,Parthenia Street Elementary,"16825 Napa Street
North Hills 91343
(34.22672747400003, -118.49985891399996)",n/a, K-05,693,23.9,85.1%,22,793,Autry Museum; The Music Center,Dance,,,,,Visual Art
