School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,Micheltorena Street Elementary,"1511 Micheltorena Street
Los Angeles 90026
(34.08872674700007, -118.27514552299999)",n/a, K-06,277,19.7,72.9%,17.3,715,Autry Museum; LA Opera; The Music Center; Young Storytellers Foundation,Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,South East High,"2720 Tweedy Boulevard
South Gate 90280
(33.946122313000046, -118.22335814299998)",n/a, 06-12,2931,32.3,82.7%,24.2,678,Gay Men's Chorus of Los Angeles; LA Opera,,,,Music/Opera,,
Los Angeles County Office of Education,Malaga Cove Academy,"300 Paseo Del Mar
Palos Verdes Estates 90274
(33.80217368800004, -118.39458873099994)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,,,Visual Art
Los Angeles Unified,Community Magnet Charter Elementary,"11301 Bellagio Road
Los Angeles 90049
(34.08094308400007, -118.46296976399998)",n/a, K-05,471,26.2,28%,24.8,962,Autry Museum; Dancing Classrooms Los Angeles,Dance,,,,,Visual Art
Wiseburn Elementary,Juan Cabrillo Elementary,"5309 West 135th Street
Hawthorne 90250
(33.90949779500005, -118.37295973799996)",2006, K-02,489,20.4,38.9%,22,906,AMAN Dance Educators; P.S. ARTS,Dance,,,,,Visual Art
Los Angeles Unified,Dorris Place Elementary,"2225 Dorris Place
Los Angeles 90031
(34.09102324500003, -118.23753850199995)",n/a, K-06,304,25.3,83.9%,25.3,884,Autry Museum; Education Through Music-Los Angeles; LA County Museum of Art; Museum of Contemporary Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,Castlebay Lane Charter,"19010 Castlebay Lane
Northridge 91326
(34.29425349300004, -118.54817869899995)",n/a, K-05,804,26.8,10.1%,23,952,Autry Museum; The Music Center,,,,,Theatre,Visual Art
Los Angeles Unified,Granada Hills Charter High,"10535 Zelzah Avenue
Granada Hills 91344
(34.26257035200007, -118.52339311699996)",n/a, 09-12,4201,25.4,42.7%,24.3,877,Autry Museum; Skirball Cultural Center; The Music Center,,,Media Arts,,Theatre,Visual Art
Los Angeles Unified,San Pascual Avenue Elementary,"815 San Pascual Avenue
Los Angeles 90042
(34.118953404000024, -118.17150699199999)",n/a, K-06,251,25,77.3%,17.9,785,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Humphreys Avenue Elementary,"500 South Humphreys Avenue
Los Angeles 90022
(34.02845779900008, -118.17089743499997)",n/a, K-05,823,24.2,86.9%,20.6,762,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Northridge Middle,"17960 Chase Street
Northridge 91325
(34.22456348900005, -118.52490952)",n/a, 06-08,799,22.2,91.1%,15.4,769,LA County Museum of Art,,,,,,Visual Art
Los Angeles Unified,Cantara Street Elementary ,"17950 Cantara Street
Reseda 91335
(34.219252622000056, -118.52492104299995)",n/a, K-05,593,21.9,89.7%,20.1,828,Enrichment Works; Los Angeles Chamber Orchestra,,,,Music/Opera,Theatre,
Los Angeles Unified,Rio Vista Elementary,"4243 Satsuma Avenue
North Hollywood 91602
(34.14707023200003, -118.36738222599996)",n/a, K-05,408,18.5,53.9%,19.4,904,Autry Museum; Dancing Classrooms Los Angeles; Education Through Music-Los Angeles,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,"School of Science, Technology, Engineering & Math (STEM) at Roosevelt High","456 South Mathews Street
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 09-12,483,20.1,79.5%,19.3,670,826LA; Geffen Playhouse,,Literature,,,Theatre,
Los Angeles Unified,Birdielee V. Bright Elementary,"1771 West 36th Street
Los Angeles 90018
(34.02283812100006, -118.31104947199998)",n/a, K-05,723,24.7,80.8%,22.6,808,Skirball Cultural Center,,,,,,Visual Art
Pasadena Unified,Roosevelt,"315 North Pasadena Avenue
Pasadena 91103
(34.15144344300006, -118.15727491699994)",2003, K-12,300,14.4,82.7%,15.7,831,Armory Center for the Arts; Pasadena Conservatory of Music; Side Street Projects,,,,Music/Opera,,Visual Art
Los Angeles Unified,Kittridge Street Elementary,"13619 Kittridge Street
Van Nuys 91401
(34.19033841500004, -118.42987968699998)",n/a, K-05,804,23.4,89.8%,20.6,811,Autry Museum; Keshet Chaim Dance Ensemble; Los Angeles Jewish Symphony; Skirball Cultural Center,Dance,,,Music/Opera,Theatre,Visual Art
William S. Hart Union High,West Ranch High,"26255 West Valencia Boulevard
Valencia 91381
(34.40213435800007, -118.59469851099999)",n/a, 09-12,2828,33.7,8.5%,28.9,856,Santa Clarita PAC,,,,Music/Opera,,
Burbank Unified,Thomas Edison Elementary,"2110 West Chestnut Street
Burbank 91506
(34.178537188000064, -118.33334766799999)",2004, K-05,547,30.3,23.4%,27.4,877,The Music Center,Dance,,,,,
Pomona Unified,Kellogg Polytechnic Elementary,"610 Medina Avenue
Pomona 91768
(34.056159094000066, -117.80761219699997)",2007, K-06,376,25.1,88.3%,23.5,823,American Museum of Ceramic Art,,,,,,Visual Art
Los Angeles Unified,Cesar Chavez Elementary,"5243 Oakland Street
Los Angeles 90032
(34.088627651000024, -118.167812777)",n/a, K-06,343,22.9,83.1%,21.4,761,The Music Center,Dance,,,,,
ABC Unified,John F. Kennedy Elementary,"17500 Belshire Avenue
Artesia 90701
(33.87207751700004, -118.07070480299996)",2005, K-06,441,26,51.2%,22.6,860,Autry Museum,,,,,,Visual Art
Los Angeles Unified,George K. Porter Middle ,"15960 Kingsbury Street
Granada Hills 91344
(34.26363275600005, -118.47841840599995)",n/a, 06-08,1702,33,70.2%,26,820,Barnsdall Arts/Friends of the Junior Arts Center; Skirball Cultural Center,,,,,,Visual Art
Los Angeles County Office of Education,Pacific Lodge Residential Education Center,"4900 Serrania Avenue
Woodland Hills 91364
(34.15916227800005, -118.58832650199997)",2003, 09-12,46,,84.8%,10.2,,Mobile Film Classroom,,,Media Arts,,,
Los Angeles Unified,Noble Avenue Elementary,"8329 Noble Avenue
North Hills 91343
(34.22162978000006, -118.46116298599998)",n/a, K-05,1134,23.5,86.7%,21.4,816,Screen Actors Guild Foundation; Skirball Cultural Center,,,,Music/Opera,Theatre,Visual Art
Torrance Unified,South High,"4801 Pacific Coast Highway
Torrance 90505
(33.810930893000034, -118.36568760699998)",n/a, 08-12,2138,29.4,12.4%,25.4,876,Los Angeles Master Chorale,,,,Music/Opera,,
Alhambra Unified,Brightwood Elementary,"1701 Brightwood Street
Monterey Park 91754
(34.04544819500006, -118.15254619499996)",2005, K-08,985,30,43.5%,25.7,909,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Tweedy Elementary,"9724 Pinehurst Avenue
South Gate 90280
(33.94347471100008, -118.18261729299996)",n/a, K-05,653,23.4,87.1%,22.5,801,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Los Angeles Unified,Aurora Elementary,"1050 East 52nd Place
Los Angeles 90011
(33.99503356100007, -118.25712844499998)",n/a, K-05,500,25.1,96.4%,22.7,818,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Daniel Webster Middle,"11330 West Graham Place
Los Angeles 90064
(34.03031066800003, -118.43492668099998)",n/a, 06-08,697,20.3,72.2%,15.8,726,"Skirball Cultural Center; Spirit Series, Inc.; The Music Center",,Literature,,,Theatre,Visual Art
San Gabriel Unified,Wilson Elementary,"8317 East Sheffield Road
San Gabriel 91775
(34.117136446000075, -118.08852929499994)",2010, K-05,375,28.8,32.5%,28,895,Pasadena Conservatory of Music; The Music Center,Dance,,,Music/Opera,,
Los Angeles Unified,Para Los Ninos Charter,"1617 East Seventh Street
Los Angeles 90021
(34.03490827300004, -118.23684713199998)",n/a, K-05,355,23.9,94.1%,19.7,772,Joe Cepeda; Young Musicians Foundation; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Rockdale Elementary,"1303 Yosemite Drive
Los Angeles 90041
(34.133265418000065, -118.19368612099998)",n/a, K-06,270,22.4,65.9%,20.8,849,Autry Museum; LA Opera; Skirball Cultural Center; The Music Center; Center for the Arts Eagle Rock; Diavolo Dance Theater; Geffen Playhouse; Museum of Contemporary Art; Story Pirates,Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Thomas Jefferson Senior High,"1319 East 41st Street
Los Angeles 90011
(34.00918819000003, -118.25136588299995)",n/a, 09-12,1624,23.3,79%,18,589,Museum of Contemporary Art; Ryman Arts; Skirball Cultural Center; The Music Center; Theatre of NOTE,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Ánimo Western Charter Middle School,"12226 South Western Avenue
Los Angeles 90047
(33.921813299000064, -118.30899207799996)",n/a, 05-08,532,24.5,86.1%,19.6,655,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Manhattan Beach Unified,Manhattan Beach Middle,"1501 Redondo Avenue
Manhattan Beach 90266
(33.889432312000054, -118.38301559599995)",2008, 06-08,1383,30,2.5%,24.2,959,Freshi Media; LA County Museum of Art,,,Media Arts,,,Visual Art
San Gabriel Unified,Jefferson Middle,"1372 East Las Tunas Drive
San Gabriel 91776
(34.103460314000074, -118.077822906)",2010, 06-08,1228,30.3,59.6%,27.1,836,Pasadena Symphony Association,,,,Music/Opera,,
Los Angeles Unified,"Cesar E. Chavez Learning Academies-Arts,Theatre, Entertaiment (ArTES)","1001 Arroyo Avenue
San Fernando 91340
(34.288063833000024, -118.42093895499994)",n/a, 09-11,345,27.9,82%,23.8,632,CalArts Community Arts Partnership (CAP); Museum of Contemporary Art,,,,Music/Opera,,Visual Art
Pomona Unified,Decker Elementary,"20 Village Loop Road
Pomona 91766
(34.03566765800008, -117.77001991799995)",2007, K-06,551,25,52.5%,21.6,792,American Museum of Ceramic Art; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Hazeltine Avenue Elementary,"7150 Hazeltine Avenue
Van Nuys 91405
(34.20019042400003, -118.439926432)",n/a, K-05,758,23.7,83.1%,21.7,785,Skirball Cultural Center,,,,,,Visual Art
Los Angeles County Office of Education,"Kirby, Dorothy Camp","1500 South McDonnell Avenue
City Of Commerce 90040
(34.01249639200006, -118.16992145199998)",2003, 08-12,69,,91.3%,6.6,403,CalArts Community Arts Partnership (CAP),,,,Music/Opera,,Visual Art
Los Angeles Unified,Cowan Avenue Elementary,"7615 Cowan Avenue
Los Angeles 90045
(33.97332111400004, -118.40488208499994)",n/a, K-05,333,22.3,40.2%,21.2,840,Dancing Classrooms Los Angeles,Dance,,,,,
Compton Unified,Carver Elementary,"1425 East 120th Street
Los Angeles 90059
(33.92376337700006, -118.24984956799995)",2004, K-05,354,19.7,83.1%,19.1,804,Autry Museum; Dancing Classrooms Los Angeles,Dance,,,,,Visual Art
Palos Verdes Peninsula Unified,Montemalaga Elementary,"1121 Via Nogales
Palos Verdes Estates 90274
(33.79129977000008, -118.39397188699996)",2005, K-05,456,25.7,2%,24,951,Diavolo Dance Theater; Palos Verdes Art Center,Dance,,Media Arts,,,Visual Art
Los Angeles Unified,Fair Avenue Elementary,"6501 Fair Avenue
North Hollywood 91606
(34.18895106700006, -118.37474300199995)",n/a, K-05,1201,25.4,90.3%,23.5,812,Autry Museum; Los Angeles Chamber Orchestra; Skirball Cultural Center; Story Pirates,,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Huntington Park Elementary,"6055 Corona Avenue
Huntington Park 90255
(33.98524547000005, -118.19489341999997)",n/a, K-05,545,22.8,78.2%,21.8,798,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Los Angeles Unified,San Jose Street Elementary,"14928 Clymer Street
Mission Hills 91345
(34.26261298700007, -118.45748951099995)",n/a, K-05,683,24.4,69.4%,23.6,814,Autry Museum; LA Opera; Skirball Cultural Center; Will Geer Theatricum Botanicum,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Foshay Learning Center,"3751 South Harvard Boulevard
Los Angeles 90018
(34.01918077800008, -118.30621219299996)",n/a, K-12,2038,30.9,86.4%,23.7,710,826LA; Gay Men's Chorus of Los Angeles; LA Opera; Light Bringer Project,,Literature,Media Arts,Music/Opera,,Visual Art
Los Angeles Unified,Marina de Rey Middle ,"12500 Braddock Drive
Los Angeles 90066
(33.98850995300006, -118.42021067399997)",n/a, 06-08,867,27,87.9%,20.2,730,Broad Stage,,,Media Arts,,,
Long Beach Unified,Carver Elementary,"5335 East Pavo Street
Long Beach 90808
(33.81151877900004, -118.12846901199998)",n/a, K-05,441,26.4,24.5%,25.2,915,International City Theatre; Long Beach Symphony Orchestra,,,,Music/Opera,Theatre,
Lowell Joint,Meadow Green Elementary,"12025 South Grovedale Drive
Whittier 90604
(33.92203773500006, -117.98837908699994)",n/a, K-06,441,29.4,33.8%,27.6,914,The Music Center,Dance,,,,,
Pasadena Unified,Aveson Global Leadership Academy,"575 West Altadena Drive
Altadena 91001
(34.19812668700007, -118.15844126899998)",2003, 06-12,209,12.3,31.6%,18.3,750,CalArts Community Arts Partnership (CAP); Broad Stage,,,,,Theatre,Visual Art
Torrance Unified,Torrance Elementary,"2125 Lincoln Avenue
Torrance 90501
(33.82354635400003, -118.32045200899995)",n/a, K-05,519,28.8,56.8%,23.7,837,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Joseph Le Conte Middle ,"1316 North Bronson Avenue
Hollywood 90028
(34.09521063700004, -118.31793666099998)",n/a, 06-08,922,19.4,91.2%,16.3,735,Alex Alfrerov; Barnsdall Arts/Friends of the Junior Arts Center,,,,,,Visual Art
Los Angeles Unified,John H. Liechty Middle,"650 South Union Avenue
Los Angeles 90017
(34.05533246700003, -118.27017603499996)",n/a, 06-08,1313,24.6,89.6%,17.4,695,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Lennox,Dolores Huerta Elementary,"4125 West 105th Street
Lennox 90304
(33.94093269800004, -118.34660795499997)",2009, K-05,575,22.9,91%,21.7,804,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Lillian Street Elementary,"5909 Lillian Street
Los Angeles 90001
(33.986595830000056, -118.23993361199996)",n/a, K-06,773,24.2,93.8%,23.4,770,Autry Museum,,,,,,Visual Art
Long Beach Unified,Rogers Middle,"365 Monrovia Avenue
Long Beach 90803
(33.76671733100005, -118.13128640899998)",n/a, 06-08,905,32.2,32%,28.3,921,Museum of Latin American Art,,,,,,Visual Art
Los Angeles Unified,Bonita Street Elementary,"21929 Bonita Street
Carson 90745
(33.82811056000003, -118.25933275999995)",n/a, K-05,479,19.9,71%,18.4,801,Autry Museum; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Montague Charter Academy,"13000 Montague Street
Pacoima 91331
(34.24442016100005, -118.41556456899997)",n/a, K-05,1113,21.3,96.5%,19.5,800,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Citizens of the World Charter,"1316 North Bronson Avenue
Los Angeles 90028
(34.09521063700004, -118.31793666099998)",n/a, K-02,180,20,39.4%,20,928,Autry Museum,,,,,,Visual Art
Redondo Beach Unified,Redondo Union High,"631 Vincent Park
Redondo Beach 90277
(33.84466887700006, -118.38447657199998)",2007, 09-12,2499,28.7,21.5%,23.9,858,Will Geer Theatricum Botanicum,,,,,Theatre,
Los Angeles Unified,Grand View Boulevard Elementary,"3951 Grand View Boulevard
Los Angeles 90066
(34.00182227200003, -118.42889928699998)",n/a, K-05,531,22.1,74.4%,20.8,775,Broad Stage; P.S. ARTS; Skirball Cultural Center,,,Media Arts,Music/Opera,Theatre,Visual Art
Palos Verdes Peninsula Unified,Dapplegray Elementary,"3011 Palos Verdes Drive North
Rolling Hills Estates 90274
(33.80253474400007, -118.37959447299994)",2005, K-05,656,27.4,2.3%,25.2,936,Palos Verdes Art Center,,,,,,Visual Art
Culver City Unified,La Ballona Elementary,"10915 Washington Boulevard
Culver City 90232
(34.01216568700005, -118.41024710899995)",2003, K-05,534,24.3,68.5%,23.2,847,24th Street Theatre Company; Actors' Gang; Autry Museum; Beth Sussman; Symphonic Jazz Orchestra; The Music Center; Young Storytellers Foundation,Dance,Literature,,Music/Opera,Theatre,Visual Art
Downey Unified,Williams Elementary,"7530 East Arnett Street
Downey 90241
(33.94472608900003, -118.14843370099999)",n/a, K-03,668,24.6,73.4%,24.3,845,Downey Symphonic Society,,,,Music/Opera,,
Long Beach Unified,Mann Elementary,"257 Coronado Avenue
Long Beach 90803
(33.76661546400004, -118.15355903299996)",n/a, K-05,340,30.9,81.5%,29.6,815,Museum of Latin American Art,,,,,,Visual Art
Los Angeles Unified,First Street Elementary,"2820 East First Street
Los Angeles 90033
(34.041204341000025, -118.20418109499997)",n/a, K-06,833,25.2,84.8%,21.4,755,24th Street Theatre Company; The Music Center,Dance,,,,Theatre,
Los Angeles Unified,Stagg Street Elementary ,"7839 Amestoy Avenue
Van Nuys 91406
(34.21216032800004, -118.50555233799997)",n/a, K-05,446,22.1,67.9%,20.3,839,Los Angeles Jewish Symphony ,,,,Music/Opera,,
Palos Verdes Peninsula Unified,Rancho Vista Elementary,"4323 Palos Verdes Drive North
Rolling Hills Estates 90274
(33.78615068400006, -118.35715388099999)",2005, K-05,433,24.2,1.2%,20.7,946,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Century Park Elementary,"10935 South Spinning Avenue
Inglewood 90303
(33.93730078500005, -118.31890227299999)",n/a, K-05,425,21.2,87.3%,18.5,790,Autry Museum,,,,,,Visual Art
Palos Verdes Peninsula Unified,Ridgecrest Intermediate,"28915 Northbay Road
Rancho Palos Verdes 90275
(33.76741890200003, -118.37793763199994)",2005, 05-08,932,30.7,2.9%,26.3,960,Diavolo Dance Theater; Palos Verdes Art Center; The Music Center,Dance,,,Music/Opera,,Visual Art
Paramount Unified,Major Lynn Mokler,"8571 East Flower Street
Paramount 90723
(33.89537244300004, -118.16535865799995)",2006, K-05,669,21.1,90.4%,20.9,795,AMAN Dance Educators; Robin Kiss; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,El Sereno Elementary,"3838 Rosemead Avenue
Los Angeles 90032
(34.09056578900004, -118.17791137399996)",n/a, K-06,438,24.3,88.8%,20.4,810,Shakespeare At Play,,,,Music/Opera,,
Compton Unified,Laurel Street Elementary,"1321 West Laurel Street
Compton 90220
(33.89278187200006, -118.24515845499997)",2004, K-05,497,28.6,80.9%,29.2,920,Dancing Classrooms Los Angeles,Dance,,,,,
Los Angeles Unified,Palms Middle,"10860 Woodbine Street
Los Angeles 90034
(34.02379566700006, -118.416705649)",n/a, 06-08,1724,29.4,49.4%,26.4,881,Skirball Cultural Center; Will Geer Theatricum Botanicum,,,,,Theatre,Visual Art
Long Beach Unified,Naples Elementary,"5537 The Toledo
Long Beach 90803
(33.755045101000064, -118.12755662499995)",n/a, K-05,354,27.4,12.4%,25.3,950,International City Theatre,,,,,Theatre,
Wiseburn Elementary,Peter Burnett Elementary,"5403 West 138th Street
Hawthorne 90250
(33.90652923000005, -118.37447537699995)",2006, 03-05,405,28.9,51.9%,27,871,Autry Museum; P.S. ARTS; Skirball Cultural Center; The Music Center,Dance,,,Music/Opera,,Visual Art
Castaic Union Elementary,Castaic Elementary,"30455 Park Vista Drive
Castaic 91384
(34.471984605000046, -118.63009699799994)",2004, K-05,578,20.6,11.8%,19,846,Autry Museum; Santa Clarita PAC,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Vine Street Elementary,"955 North Vine Street
Los Angeles 90038
(34.08826007300007, -118.32665251999998)",n/a, K-06,597,25.9,92.8%,23.4,758,Autry Museum; Broad Stage; Los Angeles Choreographers & Dancers; Skirball Cultural Center; Stella Adler Academy & Theatre Los Angeles,Dance,,Media Arts,,Theatre,Visual Art
Glendora Unified,Cullen Elementary,"440 North Live Oak Avenue
Glendora 91741
(34.142257037000036, -117.85490526899997)",n/a, K-05,667,26.7,15%,26.4,917,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Extera Public,"2226 East Third Street
Los Angeles 90033
(34.04209390200003, -118.21263653899996)",n/a, K-03,231,21.1,91.3%,21,745,Autry Museum,,,,,,Visual Art
West Covina Unified,Orangewood Elementary,"1440 South Orange Avenue
West Covina 91790
(34.061608947000025, -117.954218906)",2011, K-05,511,20.4,67.5%,20.3,877,Autry Museum,,,,,,Visual Art
Baldwin Park Unified,Tracy Elementary,"13350 Tracy Street
Baldwin Park 91706
(34.07281719200006, -117.98445708499997)",n/a, K-06,783,21.2,83.9%,22.4,761,Autry Museum,,,,,,Visual Art
Torrance Unified,Shery (Kurt T.) High (Continuation),"2600 Vine Street
Torrance 90501
(33.82276550800003, -118.32396028399995)",n/a, 09-11,179,19.1,36.9%,17.5,569,Saturday Night Bath Concert Fund,,,,Music/Opera,,
Los Angeles Unified,Utah Street Elementary,"255 Gabriel Garcia Marquez Street
Los Angeles 90033
(34.049250725000036, -118.22397268799995)",n/a, K-08,441,20.9,83.9%,20.5,741,Autry Museum; Casa 0101,,,,,Theatre,Visual Art
Wiseburn Elementary,Richard Henry Dana Middle,"5504 West 135th Street
Hawthorne 90250
(33.90942996000007, -118.376661077)",2006, 06-08,972,30,45.7%,25.9,885,Inside Out Community Arts; Ryman Arts,,,,,Theatre,Visual Art
Los Angeles Unified,Pueblo de Los Angeles Continuation,"2506 Alta Street
Los Angeles 90031
(34.07529885900004, -118.20447764)",n/a, 09-12,83,12.4,45.8%,27.7,488,artworxLA (formerly The Heart Project),Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles County Office of Education,"Munz, John Camp","42220 North Lake Hughes Road
Lake Hughes 93532
(34.65378003500007, -118.47944099499995)",2003, 09-12,78,,91%,12,,Theatre Of Hearts/Youth First,,,,,,Visual Art
Los Angeles Unified,Roscoe Elementary,"10765 Strathern Street
Sun Valley 91352
(34.21570820300008, -118.36642928899994)",n/a, K-05,725,24.2,83.3%,21.3,789,Autry Museum,,,,,,Visual Art
Temple City Unified,Temple City High,"9501 Lemon Avenue
Temple City 91780
(34.117288357000064, -118.06421342299996)",2008, 09-12,2024,29.5,36.1%,24.9,892,Parson's Nose Theater; Pasadena Symphony Association,,,,Music/Opera,Theatre,
Los Angeles Unified,Robert Frost Middle,"12314 Bradford Place
Granada Hills 91344
(34.29407489000005, -118.51170437099995)",n/a, 06-08,1606,32.4,54.9%,28.2,866,LA County Museum of Art,,,,,,Visual Art
Newhall,Old Orchard Elementary,"25141 North Avenida Rondel
Valencia 91355
(34.38166847600007, -118.54746385299995)",n/a, K-06,490,22.6,40.8%,21.8,872,Santa Clarita PAC,,,,,Theatre,Visual Art
Norwalk-La Mirada Unified,Arlie F. Hutchinson Middle,"13900 Estero Road
La Mirada 90638
(33.90425731200003, -118.02482783499994)",2003, 06-08,571,28.3,53.6%,25.4,840,La Mirada Symphony Association,,,,Music/Opera,,
Inglewood Unified,Crozier (George W.) Middle,"1210 West Regent Street
Inglewood 90301
(33.96433908800003, -118.36144273599996)",2006, 06-09,831,23.2,86%,19.6,732,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Bertrand Avenue Elementary,"7021 Bertrand Avenue
Reseda 91335
(34.19760124700008, -118.52443247599996)",n/a, K-05,400,23.3,84.3%,18.2,840,Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Palos Verdes Peninsula Unified,Cornerstone at Pedregal Elementary,"6069 Groveoak Place
Rancho Palos Verdes 90275
(33.786800424000035, -118.38438939299999)",2005, K-05,396,24.6,1%,23.3,974,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,"Dr. Lawrence H. Moore Math, Science, Technology Academy","1321 East 61st Street
Los Angeles 90001
(33.984350895000034, -118.25158669999996)",n/a,no data,,,,,,Autry Museum,,,,,,Visual Art
Acton-Agua Dulce Unified,Agua Dulce Elementary,"11311 West Frascati Street
Agua Dulce 91390
(34.487331640000036, -118.333001578)",n/a, K-05,203,22.6,50.7%,23.3,812,Canyon Theatre Guild,,,,Music/Opera,,
Palmdale Elementary,Chaparral Elementary,"37500 50th Street East
Palmdale 93552
(34.56428285800007, -118.04069192199995)",2007, K-06,935,28.4,86.3%,29.1,773,The Music Center,,,,,Theatre,
Lynwood Unified,Lindbergh Elementary,"3300 Cedar Avenue
Lynwood 90262
(33.91935154400005, -118.21365508999997)",2008, K-06,970,28.4,77.6%,28.5,706,Autry Museum,,,,,,Visual Art
Claremont Unified,Chaparral Elementary,"451 Chaparral Drive
Claremont 91711
(34.11612394200006, -117.70780964)",2010, K-06,643,25.7,9.6%,24.6,930,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Selma Avenue Elementary,"6611 Selma Avenue
Los Angeles 90028
(34.09979499200006, -118.33388633899995)",n/a, K-06,262,20.3,85.9%,20.2,789,Dancing Classrooms Los Angeles; Hollywood Arts Council; LA Opera; Los Angeles Choreographers & Dancers; The Music Center; Theatre West; Young Storytellers Foundation,Dance,Literature,Media Arts,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Saticoy Elementary,"7850 Ethel Avenue
North Hollywood 91605
(34.21364216200004, -118.41656737499994)",n/a, K-05,586,22.5,87.5%,21.7,805,Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Ivanhoe Elementary,"2828 Herkimer Street
Los Angeles 90039
(34.108600152000065, -118.26774672199997)",n/a, K-05,412,25.8,13.8%,21.7,950,Autry Museum,,,,,,Visual Art
Los Angeles Unified,La Salle Avenue Elementary,"8715 La Salle Avenue
Los Angeles 90047
(33.95871986900005, -118.30577137099999)",n/a, K-05,804,23.4,89.8%,20.6,811,Mobile Film Classroom,,,Media Arts,,,
Long Beach Unified,New City,"1637 Long Beach Boulevard
Long Beach 90813
(33.78805148300006, -118.18950217699995)",n/a, K-08,502,23.6,77.5%,21.9,664,LA Opera,,,,Music/Opera,,
Newhall,Peachland Avenue Elementary,"24800 Peachland Avenue
Newhall 91321
(34.37478225900003, -118.54603342999997)",n/a, K-06,518,26,52.5%,24.1,856,Santa Clarita PAC,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Susan Miller Dorsey Senior high,"3537 Farmdale Avenue
Los Angeles 90016
(34.02381064700006, -118.34610303699998)",n/a, 09-12,1416,20.1,66.6%,15.6,625,826LA; Broad Stage; Light Bringer Project,,Literature,Media Arts,,,Visual Art
Los Angeles Unified,Frank Lanterman ,"2328 Saint James Place
Los Angeles 90007
(34.03242919400003, -118.27876794799994)",n/a, 07-12,223,12.3,43%,10.6,912,The Music Center,Dance,,,Music/Opera,,
Los Angeles Unified,Normandie Avenue Elementary,"4505 South Raymond Avenue
Los Angeles 90037
(34.00218001200005, -118.29809206299996)",n/a, K-05,993,22.8,80.7%,20.7,734,LA County Museum of Art,,,,,,Visual Art
Los Angeles Unified,Alliance marc & Eva Stern Math and Science,"5151 State University Drive, Lot 2
Los Angeles 90032
(34.06233236600008, -118.17161281499995)",n/a, 09-12,568,22.9,86.3%,17.8,785,Maria Fritts,,,,Music/Opera,,
East Whittier City Elementary,Evergreen Elementary,"12915 East Helmer Drive
Whittier 90602
(33.96312799100008, -118.04157492299998)",2007, K-05,499,18.4,88%,17.1,831,Joe Cepeda,,,,,Theatre,
ABC Unified,Pliny Fisk Haskell Middle,"11525 Del Amo Boulevard
Cerritos 90703
(33.846054749000075, -118.08793300399998)",2005, 06-08,520,25.8,60.2%,23.4,819,Long Beach Opera,,,Media Arts,,,
Long Beach Unified,Lincoln Elementary,"1175 East 11th Street
Long Beach 90813
(33.780828575000044, -118.17727481699995)",n/a, K-05,1122,31.2,75.7%,26.2,757,Arts Council for Long Beach; Autry Museum; Carpenter Performing Arts Center; International City Theatre,,,,Music/Opera,Theatre,Visual Art
