#,Applicant Name,Discipline ,Allocation,Mailing Address,MA Part 2,Mail City,Mail State,Mail Zip,Fiscal Year
754,CRE Outreach,Theatre,"7,600 ",11777 San Vicente Blvd,Ste 502,Los Angeles,CA,90049,2013-14
755,"Cultural Heritage Foundation, Inc.",Culture/History,"4,750 ",3800 Homer Street,,Los Angeles,CA,90031-1530,2013-14
756,Culture Shock Los Angeles Dance Troupe,Dance,"5,700 ",4029 Pacific Avenue,#7,San Pedro,CA,90731,2013-14
757,"Da Camera Society of Mount St. Mary's College, The",Music,"8,000 ",10 Chester Place,,Los Angeles,CA,90007,2013-14
758,Dance Camera West,Media,"5,110 ",2934 1/2 Beverly Glen Circle,#292,Los Angeles,CA,90077-1724,2013-14
759,"Dance Resource Center of Greater Los Angeles, The",Business Management & Arts Advocacy,"3,000 ",Post Office Box 41092,,Los Angeles,CA,90042,2013-14
760,Dance Studio Showtime - Katusha,Traditional/Folk,"4,750 ",8037 Limerick Ave,,Winnetka,CA,91306,2013-14
761,Dance Studio Showtime - Katusha,Traditional/Folk,"3,330 ",8037 Limerick Ave,,Winnetka,CA,91306,2013-14
762,"Deaf West Theatre Company, Inc.",Theatre,"10,450 ",5114 Lankeshim Boulevard,,North Hollywood,CA,91601,2013-14
763,Diavolo Dance Theatre,Dance,"13,300 ",616 Moulton Avenue,,Los Angeles,CA,90031,2013-14
764,Eagle Rock Cultural Association,Multi-disciplinary,"7,130 ",2225 Colorado Boulevard,,Los Angeles,CA,90041,2013-14
765,Eagle Rock Cultural Association,Multi-disciplinary,"9,500 ",2225 Colorado Boulevard,,Los Angeles,CA,90041,2013-14
766,"East-West Players, Inc.",Theatre,"8,550 ",120 N. Judge John Aiso Street,,Los Angeles,CA,90012-3859,2013-14
767,Ebony Repertory Theatre,Multi-disciplinary,"7,800 ",4718 W. Washington Boulevard,,Los Angeles,CA,90016,2013-14
768,Echo Park Film Center,Media,"6,200 ",1200 N. Alvarado Street,,Los Angeles,CA,90026,2013-14
769,Echo Park Film Center,Media,"5,800 ",1200 N. Alvarado Street,,Los Angeles,CA,90026,2013-14
770,"EngAGE, Inc.",Multi-disciplinary,"17,100 ",240 E. Verdugo Avenue,,Burbank,CA,91502,2013-14
771,Enrichment Works,Theatre,"5,510 ",5605 Woodman Ave,Ste 207,Valley Glen,CA,91401,2013-14
772,Ensemble Studio Theatre The L A Project,Theatre,"7,130 ",137 N. Larchmont Blvd,#134,Los Angeles,CA,90004,2013-14
773,ETM-LA Inc,Music,"8,550 ",847 N. Hollywood Way,#206,Burbank,CA,91505,2013-14
774,Film Independent Inc.,Media,"19,950 ",9911 W. Pico Boulevard,11th Floor,Los Angeles,CA,90035,2013-14
775,"Filmforum, Inc.",Media,"11,970 ",143 N. Commonwealth Avenue,#3,Los Angeles,CA,90004,2013-14
776,Floricanto Dance Theatre,Dance,"3,330 ",2758 E. Orange Grove Boulevard,,Pasadena,CA,91007,2013-14
777,Ford Theatre Foundation,Multi-disciplinary,"7,600 ",2580 Cahuenga Boulevard East,,Hollywood,CA,90068,2013-14
778,Fountain Theatre,Theatre,"8,550 ",5060 Fountain Avenue,,Los Angeles,CA,90029-1422,2013-14
779,Fourth of July Celebration at Hansen Dam,Festivals/Parades,"1,900 ",8743 Burnet Avenue,,North Hills,CA,91343,2013-14
780,Francisco Martinez Dancetheatre,Dance,"3,330 ",6723 Matilija Avenue,,Valley Glen,CA,91405,2013-14
781,Friends of the Chinese American Museum,Culture/History,"9,500 ",425 N. Los Angeles Street,,Los Angeles,CA,90012-2980,2013-14
782,Friends of the Chinese American Museum,Culture/History,"4,560 ",425 N. Los Angeles Street,,Los Angeles,CA,90012-2980,2013-14
783,Friends of the Family,Festivals/Parades,"6,180 ",15350 Sherman Way,Suite #140,Van Nuys,CA,91406,2013-14
784,Friends of the Junior Arts Center,Visual/Design,"6,180 ",4814 Hollywood Boulevard,,Los Angeles,CA,90027,2013-14
785,Friends of the Levitt Pavilion - MacArthur Park,Music,"5,700 ",2936 West 8th Street,,Los Angeles,CA,90005,2013-14
786,Friends of the McGroarty Cultural Arts Center,Multi-disciplinary,"7,600 ",7570 McGroarty Terrace,,Tujunga,CA,91042,2013-14
787,Friends of the McGroarty Cultural Arts Center,Multi-disciplinary,"15,200 ",7570 McGroarty Terrace,,Tujunga,CA,91042,2013-14
788,Friends The Foundation of the California African-American Museum,Multi-disciplinary,"7,000 ",600 State Drive,,Los Angeles,CA,90037,2013-14
789,Future Roots Inc.,Music,"4,280 ",4519 Santa Monica Blvd.,,Los Angeles,CA,90029,2013-14
790,Gabrielino/Tongva Springs Foundation,Traditional/Folk,"3,520 ",P.O. Box 642043,,Los Angeles,CA,90064-2043,2013-14
791,Gay Mens Chorus of Los Angeles,Music,"8,550 ",9056 Santa Monica Blvd,Ste 300,West Hollywood,CA,90069-5545,2013-14
792,"Geffen Playhouse, Inc.",Theatre,"19,000 ",10886 Le Conte Avenue,,Los Angeles,CA,90024,2013-14
793,Golden State Pops Orchestra / Friends of the GSPO,Music,"4,280 ",P.O. Box 6011,,San Pedro,CA,90734,2013-14
794,GRAMMY Museum Foundation Inc,Music,"8,000 ",800 West Olympic Blvd,Ste #A245,Los Angeles,CA,90015,2013-14
795,Granada Chamber of Commerce,Festivals/Parades,"3,800 ",17723 Chatsworth Street,,Granada Hills,CA,91344,2013-14
796,Grand Performances,Multi-disciplinary,"4,280 ",350 S. Grand Avenue,,Los Angeles,CA,90071,2013-14
797,Grand Performances,Multi-disciplinary,"15,200 ",350 S. Grand Avenue,,Los Angeles,CA,90071,2013-14
798,Grand Vision Foundation,Multi-disciplinary,"5,700 ",434 W. 6th Street,,San Pedro,CA,90731,2013-14
799,Greenway Arts Alliance Inc,Theatre,"8,550 ",544 N. Fairfax Avenue,,Los Angeles,CA,90036,2013-14
800,H E Art Project,Multi-disciplinary,"16,510 ",1140 N. Citrus Avenue,,Los Angeles,CA,90038,2013-14
